iter	Passed	Remaining
456	8350	9921
457	8370	9906
458	8389	9888
459	8408	9871
460	8429	9856
461	8449	9839
462	8468	9822
463	8487	9804
464	8507	9788
465	8527	9772
466	8545	9753
467	8565	9736
468	8586	9721
469	8606	9704
470	8629	9691
471	8651	9677
472	8671	9661
473	8693	9647
474	8715	9632
475	8733	9614
476	8756	9601
477	8778	9586
478	8798	9570
479	8819	9554
480	8844	9543
481	8863	9525
482	8883	9509
483	8909	9498
484	8935	9488
485	8957	9473
486	8980	9459
487	9002	9444
488	9027	9433
489	9052	9421
490	9075	9407
491	9097	9393
492	9118	9377
493	9138	9360
494	9164	9350
495	9188	9337
496	9211	9322
497	9231	9305
498	9256	9293
499	9278	9278
500	9298	9261
501	9323	9249
502	9342	9230
503	9362	9214
504	9384	9198
505	9405	9182
506	9425	9165
507	9449	9151
508	9468	9134
509	9490	9118
510	9516	9106
511	9537	9090
512	9558	9074
513	9576	9055
514	9595	9036
515	9615	9018
516	9636	9002
517	9657	8986
518	9677	8969
519	9697	8951
520	9717	8933
521	9736	8916
522	9758	8900
523	9780	8884
524	9800	8866
525	9821	8850
526	9841	8833
527	9860	8814
528	9880	8797
529	9899	8779
530	9919	8760
531	9941	8745
532	9964	8730
533	9988	8716
534	10009	8699
535	10031	8683
536	10053	8668
537	10075	8652
538	10097	8636
539	10118	8619
540	10141	8604
541	10160	8586
542	10181	8568
543	10203	8553
544	10224	8536
545	10245	8518
546	10266	8501
547	10285	8484
548	10302	8463
549	10317	8441
550	10334	8421
551	10348	8398
552	10361	8375
553	10375	8352
554	10389	8330
555	10402	8306
556	10416	8284
557	10431	8262
558	10445	8240
559	10458	8217
560	10472	8195
561	10485	8172
562	10502	8152
563	10520	8132
564	10534	8110
565	10550	8089
566	10565	8068
567	10581	8047
568	10595	8025
569	10612	8006
570	10628	7985
571	10642	7963
572	10657	7941
573	10674	7922
574	10690	7901
575	10703	7879
576	10718	7858
577	10735	7838
578	10750	7816
579	10764	7794
580	10780	7774
581	10798	7755
582	10812	7734
583	10826	7711
584	10845	7693
585	10861	7673
586	10876	7652
587	10894	7633
588	10910	7613
589	10926	7593
590	10945	7575
591	10965	7557
592	10984	7538
593	11004	7521
594	11022	7502
595	11039	7482
596	11057	7464
597	11075	7445
598	11094	7426
599	11127	7418
600	11142	7397
601	11154	7374
602	11171	7354
603	11188	7335
604	11202	7313
605	11215	7292
606	11237	7275
607	11252	7254
608	11265	7232
609	11279	7211
610	11299	7194
611	11314	7173
612	11328	7151
613	11345	7132
614	11361	7112
615	11375	7090
616	11390	7070
617	11404	7049
618	11420	7029
619	11435	7008
620	11450	6988
621	11464	6966
622	11477	6945
623	11491	6924
624	11506	6904
625	11521	6883
626	11536	6862
627	11550	6842
628	11564	6821
629	11579	6800
630	11594	6780
631	11607	6758
632	11622	6738
633	11636	6717
634	11650	6696
635	11665	6676
636	11679	6655
637	11693	6634
638	11708	6614
639	11722	6593
640	11740	6575
641	11757	6556
642	11773	6536
643	11787	6515
644	11803	6496
645	11818	6476
646	11830	6454
647	11849	6436
648	11866	6417
649	11885	6399
650	11905	6382
651	11922	6363
652	11941	6345
653	11957	6326
654	11975	6307
655	11994	6289
656	12012	6271
657	12031	6253
658	12050	6235
659	12067	6216
660	12086	6198
661	12104	6180
662	12122	6161
663	12138	6142
664	12153	6122
665	12167	6101
666	12180	6081
667	12195	6061
668	12209	6040
669	12224	6020
670	12238	6000
671	12251	5980
672	12266	5959
673	12280	5939
674	12294	5919
675	12308	5899
676	12323	5879
677	12337	5859
678	12351	5838
679	12366	5819
680	12380	5799
681	12395	5779
682	12416	5763
683	12432	5743
684	12449	5725
685	12464	5705
686	12482	5687
687	12497	5667
688	12512	5647
689	12527	5628
690	12543	5609
691	12560	5590
692	12576	5571
693	12591	5551
694	12608	5533
695	12623	5513
696	12638	5494
697	12655	5475
698	12672	5456
699	12686	5436
700	12701	5417
701	12718	5399
702	12745	5384
703	12762	5366
704	12784	5349
705	12811	5334
706	12827	5316
707	12846	5298
708	12863	5279
709	12879	5260
710	12893	5240
711	12910	5222
712	12930	5204
713	12944	5185
714	12960	5166
715	12978	5147
716	12994	5128
717	13007	5108
718	13025	5090
719	13041	5071
720	13056	5052
721	13074	5034
722	13094	5016
723	13111	4998
724	13126	4979
725	13142	4960
726	13158	4941
727	13174	4922
728	13188	4902
729	13204	4883
730	13219	4864
731	13234	4845
732	13252	4827
733	13267	4808
734	13282	4788
735	13296	4769
736	13314	4751
737	13329	4732
738	13344	4713
739	13361	4694
740	13376	4675
741	13390	4656
742	13405	4636
743	13422	4618
744	13435	4598
745	13449	4579
746	13464	4560
747	13477	4540
748	13491	4521
749	13505	4501
750	13519	4482
751	13533	4463
752	13548	4444
753	13563	4425
754	13577	4405
755	13591	4386
756	13605	4367
757	13619	4348
758	13633	4329
759	13648	4310
760	13662	4290
761	13676	4271
762	13690	4252
763	13703	4233
764	13731	4218
765	13749	4200
766	13763	4181
767	13779	4162
768	13794	4143
769	13811	4125
770	13830	4107
771	13844	4088
772	13859	4069
773	13876	4051
774	13892	4033
775	13905	4014
776	13922	3995
777	13936	3976
778	13950	3957
779	13964	3938
780	13981	3920
781	13997	3902
782	14014	3883
783	14032	3865
784	14048	3847
785	14065	3829
786	14080	3810
787	14094	3792
788	14108	3773
789	14123	3754
790	14137	3735
791	14151	3716
792	14165	3697
793	14179	3678
794	14195	3660
795	14210	3641
796	14224	3623
797	14238	3604
798	14253	3585
799	14267	3566
800	14280	3547
801	14294	3529
802	14310	3510
803	14326	3492
804	14343	3474
805	14358	3455
806	14375	3438
807	14392	3419
808	14408	3401
809	14424	3383
810	14439	3365
811	14456	3347
812	14471	3328
813	14487	3310
814	14505	3292
815	14520	3274
816	14535	3255
817	14551	3237
818	14568	3219
819	14583	3201
820	14601	3183
821	14617	3165
822	14632	3146
823	14649	3128
824	14665	3110
825	14683	3093
826	14698	3074
827	14716	3057
828	14734	3039
829	14749	3021
830	14766	3002
831	14785	2985
832	14806	2968
833	14824	2950
834	14843	2933
835	14863	2915
836	14882	2898
837	14902	2880
838	14922	2863
839	14941	2845
840	14959	2828
841	14977	2810
842	14995	2792
843	15011	2774
844	15030	2757
845	15051	2739
846	15067	2721
847	15081	2703
848	15098	2685
849	15116	2667
850	15130	2649
851	15147	2631
852	15163	2613
853	15180	2595
854	15196	2577
855	15211	2559
856	15229	2541
857	15243	2522
858	15260	2504
859	15275	2486
860	15291	2468
861	15307	2450
862	15322	2432
863	15336	2414
864	15350	2395
865	15364	2377
866	15380	2359
867	15394	2341
868	15409	2322
869	15423	2304
870	15437	2286
871	15451	2268
872	15466	2249
873	15480	2231
874	15494	2213
875	15508	2195
876	15522	2177
877	15536	2158
878	15550	2140
879	15564	2122
880	15579	2104
881	15594	2086
882	15609	2068
883	15623	2050
884	15637	2031
885	15652	2013
886	15668	1996
887	15683	1978
888	15697	1960
889	15712	1942
890	15728	1924
891	15742	1906
892	15757	1888
893	15772	1870
894	15787	1852
895	15804	1834
896	15822	1816
897	15840	1799
898	15859	1781
899	15877	1764
900	15893	1746
901	15909	1728
902	15927	1710
903	15941	1692
904	15955	1674
905	15971	1657
906	15987	1639
907	16005	1621
908	16022	1604
909	16041	1586
910	16056	1568
911	16071	1550
912	16085	1532
913	16098	1514
914	16114	1496
915	16128	1479
916	16143	1461
917	16157	1443
918	16172	1425
919	16185	1407
920	16200	1389
921	16214	1371
922	16228	1353
923	16242	1335
924	16257	1318
925	16271	1300
926	16288	1282
927	16304	1265
928	16321	1247
929	16337	1229
930	16351	1211
931	16370	1194
932	16385	1176
933	16400	1158
934	16418	1141
935	16434	1123
936	16449	1105
937	16463	1088
938	16482	1070
939	16497	1053
940	16513	1035
941	16529	1017
942	16546	1000
943	16560	982
944	16575	964
945	16593	947
946	16608	929
947	16624	911
948	16641	894
949	16658	876
950	16673	859
951	16691	841
952	16707	823
953	16721	806
954	16738	788
955	16756	771
956	16774	753
957	16790	736
958	16806	718
959	16823	700
960	16839	683
961	16858	665
962	16877	648
963	16896	630
964	16917	613
965	16937	596
966	16954	578
967	16975	561
968	16993	543
969	17013	526
970	17032	508
971	17048	491
972	17070	473
973	17084	456
974	17099	438
975	17115	420
976	17131	403
977	17147	385
978	17163	368
979	17179	350
980	17194	333
981	17210	315
982	17228	297
983	17243	280
984	17257	262
985	17274	245
986	17291	227
987	17305	210
988	17319	192
989	17331	175
990	17346	157
991	17361	140
992	17376	122
993	17391	104
994	17407	87
995	17423	69
996	17438	52
997	17452	34
998	17466	17
999	17481	0
